UID          PID    PPID  C STIME TTY          TIME CMD
root         856       1  0 18:42 ?        00:00:00 /usr/sbin/cups-browsed
kernoops     860       1  0 18:42 ?        00:00:00 /usr/sbin/kerneloops --test
kernoops     864       1  0 18:42 ?        00:00:00 /usr/sbin/kerneloops
rtkit        917       1  0 18:42 ?        00:00:00 /usr/libexec/rtkit-daemon
root        1066       1  0 18:42 ?        00:00:00 /usr/libexec/upowerd
root        1108       1  0 18:42 ?        00:00:00 /usr/libexec/packagekitd
colord      1261       1  0 18:42 ?        00:00:00 /usr/libexec/colord
root        1322     779  0 18:42 ?        00:00:00 gdm-session-worker [pam/gdm-password]
vboxuser    1330       1  0 18:42 ?        00:00:01 /lib/systemd/systemd --user
vboxuser    1331    1330  0 18:42 ?        00:00:00 (sd-pam)
vboxuser    1337    1330  0 18:42 ?        00:00:00 /usr/bin/pipewire
vboxuser    1338    1330  0 18:42 ?        00:00:00 /usr/bin/pipewire-media-session
vboxuser    1339    1330  0 18:42 ?        00:00:00 /usr/bin/pulseaudio --daemonize=no --log-target=journal
vboxuser    1340    1330  0 18:42 ?        00:00:00 /snap/snapd-desktop-integration/49/usr/bin/snapd-desktop-integration
vboxuser    1347    1330  0 18:42 ?        00:00:01 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
vboxuser    1349       1  0 18:42 ?        00:00:00 /usr/bin/gnome-keyring-daemon --daemonize --login
vboxuser    1352    1330  0 18:42 ?        00:00:00 /usr/libexec/gvfsd
vboxuser    1361    1330  0 18:42 ?        00:00:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f
vboxuser    1374    1330  0 18:42 ?        00:00:00 /usr/libexec/xdg-document-portal
vboxuser    1378    1330  0 18:42 ?        00:00:00 /usr/libexec/xdg-permission-store
vboxuser    1379    1322  0 18:42 tty2     00:00:00 /usr/libexec/gdm-wayland-session env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --session=ubuntu
root        1386    1374  0 18:42 ?        00:00:00 fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/1000/doc
vboxuser    1392    1379  0 18:42 tty2     00:00:00 /usr/libexec/gnome-session-binary --session=ubuntu
vboxuser    1416    1330  0 18:42 ?        00:00:01 /usr/libexec/tracker-miner-fs-3
vboxuser    1438    1330  0 18:42 ?        00:00:00 /usr/libexec/gvfs-udisks2-volume-monitor
vboxuser    1447    1330  0 18:42 ?        00:00:00 /usr/libexec/gnome-session-ctl --monitor
vboxuser    1458    1330  0 18:42 ?        00:00:00 /usr/libexec/gvfs-gphoto2-volume-monitor
vboxuser    1462    1330  0 18:42 ?        00:00:00 /usr/libexec/gnome-session-binary --systemd-service --session=ubuntu
vboxuser    1467    1330  0 18:42 ?        00:00:00 /usr/libexec/gvfs-goa-volume-monitor
vboxuser    1471    1330  0 18:42 ?        00:00:00 /usr/libexec/goa-daemon
vboxuser    1485    1330  0 18:42 ?        00:00:00 /usr/libexec/goa-identity-service
vboxuser    1487    1330  0 18:42 ?        00:00:00 /usr/libexec/gvfs-mtp-volume-monitor
vboxuser    1493    1330  0 18:42 ?        00:00:00 /usr/libexec/gvfs-afc-volume-monitor
vboxuser    1513    1330  6 18:42 ?        00:01:52 /usr/bin/gnome-shell
vboxuser    1514    1462  0 18:42 ?        00:00:00 /usr/libexec/at-spi-bus-launcher --launch-immediately
vboxuser    1523    1514  0 18:42 ?        00:00:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 11 --address=unix:path=/run/user/1000/at-spi/bus
vboxuser    1576    1340  0 18:42 ?        00:00:00 /snap/snapd-desktop-integration/49/usr/bin/snapd-desktop-integration
vboxuser    1582    1330  0 18:42 ?        00:00:00 /usr/libexec/xdg-desktop-portal
vboxuser    1586    1330  0 18:42 ?        00:00:00 /usr/libexec/xdg-desktop-portal-gnome
vboxuser    1593    1330  0 18:42 ?        00:00:00 /usr/libexec/gnome-shell-calendar-server
vboxuser    1599    1330  0 18:42 ?        00:00:00 /usr/libexec/evolution-source-registry
vboxuser    1607    1330  0 18:42 ?        00:00:00 /usr/libexec/evolution-calendar-factory
vboxuser    1614    1330  0 18:42 ?        00:00:00 /usr/libexec/dconf-service
vboxuser    1621    1330  0 18:42 ?        00:00:00 /usr/libexec/evolution-addressbook-factory
vboxuser    1635    1352  0 18:42 ?        00:00:00 /usr/libexec/gvfsd-trash --spawner :1.2 /org/gtk/gvfs/exec_spaw/0
vboxuser    1645    1330  0 18:42 ?        00:00:00 /usr/libexec/at-spi2-registryd --use-gnome-session
vboxuser    1650    1330  0 18:42 ?        00:00:00 /usr/bin/gjs /usr/share/gnome-shell/org.gnome.Shell.Notifications
vboxuser    1662    1330  0 18:42 ?        00:00:00 sh -c /usr/bin/ibus-daemon --panel disable $([ "$XDG_SESSION_TYPE" = "x11" ] && echo "--xim")
vboxuser    1664    1330  0 18:42 ?        00:00:00 /usr/libexec/gsd-a11y-settings
vboxuser    1666    1330  0 18:42 ?        00:00:00 /usr/libexec/gsd-color
vboxuser    1668    1330  0 18:42 ?        00:00:00 /usr/libexec/gsd-datetime
vboxuser    1669    1662  0 18:42 ?        00:00:02 /usr/bin/ibus-daemon --panel disable
vboxuser    1670    1330  0 18:42 ?        00:00:00 /usr/libexec/gsd-housekeeping
vboxuser    1671    1330  0 18:42 ?        00:00:00 /usr/libexec/gsd-keyboard
vboxuser    1674    1330  0 18:42 ?        00:00:00 /usr/libexec/gsd-media-keys
vboxuser    1675    1330  0 18:42 ?        00:00:00 /usr/libexec/gsd-power
vboxuser    1679    1330  0 18:42 ?        00:00:00 /usr/libexec/gsd-print-notifications
vboxuser    1683    1330  0 18:42 ?        00:00:00 /usr/libexec/gsd-rfkill
vboxuser    1688    1330  0 18:42 ?        00:00:00 /usr/libexec/gsd-screensaver-proxy
vboxuser    1689    1330  0 18:42 ?        00:00:00 /usr/libexec/gsd-sharing
vboxuser    1692    1330  0 18:42 ?        00:00:00 /usr/libexec/gsd-smartcard
vboxuser    1695    1330  0 18:42 ?        00:00:00 /usr/libexec/gsd-sound
vboxuser    1696    1330  0 18:42 ?        00:00:00 /usr/libexec/gsd-wacom
vboxuser    1728    1462  0 18:42 ?        00:00:00 /usr/libexec/evolution-data-server/evolution-alarm-notify
vboxuser    1741    1462  0 18:42 ?        00:00:00 /usr/libexec/gsd-disk-utility-notify
vboxuser    1743    1669  0 18:42 ?        00:00:00 /usr/libexec/ibus-memconf
vboxuser    1744    1669  0 18:42 ?        00:00:03 /usr/libexec/ibus-extension-gtk3
vboxuser    1749    1330  0 18:42 ?        00:00:00 /usr/libexec/ibus-portal
vboxuser    1786    1330  0 18:42 ?        00:00:00 /usr/libexec/gsd-printer
vboxuser    1826    1330  0 18:42 ?        00:00:00 /usr/libexec/gvfsd-metadata
vboxuser    1843    1669  0 18:42 ?        00:00:00 /usr/libexec/ibus-engine-simple
vboxuser    1850    1330  0 18:42 ?        00:00:00 /usr/libexec/xdg-desktop-portal-gtk
vboxuser    1865    1330  0 18:43 ?        00:00:00 /usr/bin/gjs /usr/share/gnome-shell/org.gnome.ScreenSaver
vboxuser    1960    1330  0 18:43 ?        00:00:00 /usr/bin/gnome-calendar --gapplication-service
vboxuser    1964    1330  0 18:43 ?        00:00:08 /usr/libexec/gnome-terminal-server
vboxuser    1965    1330  0 18:43 ?        00:00:00 /usr/bin/seahorse --gapplication-service
vboxuser    2039    1964  0 18:43 pts/0    00:00:00 bash
vboxuser    2128    1462  0 18:43 ?        00:00:00 update-notifier
vboxuser    2502    1513  0 18:45 ?        00:00:05 /usr/bin/Xwayland :0 -rootless -noreset -accessx -core -auth /run/user/1000/.mutter-Xwaylandauth.P2SK71 -listen 4 -listen 5 -displayfd 6 -initfd 7
vboxuser    2505    1330  0 18:45 ?        00:00:00 /usr/libexec/gsd-xsettings
vboxuser    2532    1330  0 18:45 ?        00:00:00 /usr/libexec/ibus-x11
root        3029       2  0 18:48 ?        00:00:07 [kworker/u2:3-events_unbound]
vboxuser    3095    1513  0 18:54 ?        00:00:02 gjs /usr/share/gnome-shell/extensions/ding@rastersoft.com/ding.js -E -P /usr/share/gnome-shell/extensions/ding@rastersoft.com -M 0 -D 0:0:800:600:1:27:0:0:0:0
root        3287       2  0 18:57 ?        00:00:05 [kworker/u2:1-events_unbound]
vboxuser    3311    1513  0 18:57 ?        00:00:02 /snap/firefox/2356/usr/lib/firefox/firefox
vboxuser    3504    1330  0 18:58 ?        00:00:00 /usr/bin/snap userd
vboxuser    3546    3311  0 18:58 ?        00:00:00 /snap/firefox/2356/usr/lib/firefox/firefox -contentproc -parentBuildID 20230214170610 -prefsLen 18527 -prefMapSize 225508 -appDir /snap/firefox/2356/usr/lib/firefox/browser {1c896c13-1c26-4602-8fa8-741c6abead95} 3311 true socket
root        4442       2  0 19:04 ?        00:00:01 [kworker/0:1-events]
vboxuser    4754    1349  0 19:08 ?        00:00:00 /usr/bin/ssh-agent -D -a /run/user/1000/keyring/.ssh
vboxuser    5216    2039  0 19:11 pts/0    00:00:00 ps -ef
